asv	E25	E31	H19	H40	H45	P33	E44	E56	H06	H43	P05	P65	P75	H09	H47	P43	P45	E18	E48	H34	H37	P09	P64	E58	P36	P58	E27	H08	H20	H23	P53	E34	H16	H25	P14	P34	P51	P60	P72	H32	P48	H07	H12	P01	E30	H10	P47	P67	P79	H39	P25
ASV_1	0	0	0	0	0	0	0	0	1524	6	0	0	8	0	10	3154	0	0	21390	0	0	0	0	0	0	10	8868	0	0	0	0	716	0	0	0	0	0	0	0	0	0	0	66	0	77402	20	0	0	64	0	0
ASV_10	50	36	0	8738	0	24	5177	0	0	0	0	0	10	1232	32	0	8	0	1737	30	0	0	0	0	0	3852	0	408	10	0	664	0	22138	0	0	36	16	0	0	8236	0	0	20753	0	0	46	0	0	0	108	0
ASV_100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	820	4183	0	0	0
ASV_1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1001	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0
ASV_1002	0	0	51	0	0	24	0	0	28	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241
ASV_1003	0	0	0	0	0	0	0	0	0	0	0	0	0	15	27	0	0	702	0	0	0	0	0	0	0	0	4	0	0	22	0	0	0	19	0	456	5	140	0	0	0	0	30	0	0	19	0	125	51	23	0
ASV_1004	0	256	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	561	0	0	0	0	2226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2629	0	0	0	0	0	0	0	0	0	0
ASV_1005	585	796	449	0	0	17	0	0	139	0	0	0	0	0	442	0	6	10945	0	68	0	29	0	3295	242	0	184	0	572	467	7	0	0	0	209	14	0	2183	483	3278	8364	20	17	0	0	0	193	15	0	93	0
ASV_1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	15	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
ASV_1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0
ASV_102	0	19	5	197	2752	5600	0	0	10036	158	0	0	33	3130	0	0	694	0	0	477	0	0	0	7	0	237	0	10490	349	0	0	0	0	0	0	594	0	0	0	3033	0	286	0	6353	0	781	6040	0	36	0	10
ASV_1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
ASV_1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	27	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0
