genome	E25	E31	H19	H40	H45	P33	E44	E56	H06	H43	P05	P65	P75	H09	H47	P43	P45	E18	E48	H34	H37	P09	P64	E58	P36	P58	E27	H08	H20	H23	P53	E34	H16	H25	P14	P34	P51	P60	P72	H32	P48	H07	H12	P01	E30	H10	P47	P67	P79	H39	P25
EH_bin.11	0.0011052367	8.67466e-4	7.3153025e-4	7.899219e-4	2.9896511e-5	9.277261e-4	0.12189508	0.0025211168	1.7330634e-4	8.99231e-4	0	0.0012407053	0.0018498467	3.9099032e-4	2.195525e-4	0.009142727	9.7210373e-4	0.00216703	0.98956287	0.0015298605	4.8114696e-5	1.0837485e-4	5.082407e-4	3.1344625e-4	0.0026710664	9.20252e-5	0.0033367309	0	2.989651e-4	4.1574836e-5	8.455107e-5	0.4610995	5.9279177e-4	5.731722e-4	3.4707983e-4	0	0.0029817098	7.492813e-4	2.6393015e-4	0	0.0014738046	2.0880844e-4	0.0015606913	8.268254e-5	0.010890738	6.306295e-5	9.683667e-4	2.8121407e-4	7.067722e-4	2.8962246e-5	1.5882522e-4
EH_bin.12	4.497163e-4	0.008932385	8.574935e-4	0.0022543885	2.832503e-4	3.0325202e-4	0.10908427	2.4131118e-4	7.613561e-5	0.0012955959	1.81306e-4	8.7168824e-4	0.0044107037	1.438834e-4	1.81306e-4	0.05719527	0.0023692371	0.007599367	0.9995535	0.0016975661	9.8073e-5	9.162082e-5	4.9681716e-5	7.968431e-4	1.5743297e-4	8.6459084e-5	6.852205e-4	9.162082e-5	9.678256e-5	0	9.678256e-5	0.069396324	6.968344e-4	0.0010175073	6.7038054e-4	2.3227815e-4	0.00707416	8.5233175e-4	0	7.226431e-5	3.5486938e-4	1.3420515e-4	0.0036693495	6.387649e-4	0.0032828643	9.8073e-5	0.0015291645	2.574416e-4	0.0015381975	1.096869e-4	1.5033557e-4
EH_bin.13	0.00871443	0.011233057	0.0014066639	1.8498964e-4	0	0.0036410552	0.16256303	2.8626135e-4	2.9031222e-5	2.3528792e-4	5.0635852e-5	3.6964173e-4	2.281989e-4	0.002086197	0.0014178038	0.073229566	1.2051332e-4	5.063585e-4	0.034914095	1.7249947e-4	7.899193e-5	0	2.3967636e-5	0	0.0012635333	9.418268e-5	0.02718065	2.2921163e-4	0.0017192559	3.210313e-4	8.6080945e-5	0.9919536	0.0021874688	8.7802566e-4	4.0846255e-5	0	8.192881e-4	0	7.797921e-5	3.578267e-5	1.4110524e-4	7.922823e-4	2.6398158e-4	2.2752376e-4	0.49847755	2.5655498e-5	8.8781526e-5	0.00152819	1.01271704e-4	0	2.2954919e-5
EH_bin.15	0.0010861568	0.0015322182	7.218205e-4	0.0015053108	2.652302e-4	4.7681265e-4	0.003958899	8.088935e-5	1.4038648e-5	0.0016164501	6.207088e-4	8.541849e-4	0.0027936911	5.174245e-4	5.790942e-4	0.01326786	0.0018778363	0.0056194705	0.99938214	0.0026095174	2.222786e-5	9.1618893e-4	2.59715e-4	4.863389e-4	3.0467208e-4	1.5308811e-4	0.0019981677	1.1197493e-5	1.6378424e-4	4.763113e-5	0	0.040149532	4.886787e-4	6.7970454e-4	0.0014705485	2.6807134e-4	0.0051115723	7.137984e-4	2.672357e-4	0.0012628098	7.966933e-4	5.2979187e-4	0.0026359234	8.998105e-4	0.008695272	2.272924e-5	0.0010452108	0.2679719	0.0011035381	4.7631128e-4	0
EH_bin.17	0.49316686	0.006668587	6.549387e-4	7.0791657e-4	0	0.0023522165	0	6.489787e-5	0	5.1388517e-4	4.7017842e-5	5.211696e-4	9.43668e-4	0.0016933046	0.0011165083	0.0013482863	0.0011562416	0.0022641409	0.99506116	8.211567e-4	0	4.7017842e-5	0	3.092582e-4	7.880455e-4	1.9204471e-4	1.8343581e-4	0	0.001068166	5.54943e-4	1.9866694e-4	0.7600249	0.0021045452	9.582369e-4	2.145603e-4	0	0.0026846526	3.7283162e-4	2.1389808e-4	4.7017842e-5	0	0.0013655041	0.0012350462	5.344141e-4	7.695033e-4	2.602537e-4	5.5229414e-4	0.001546291	4.900451e-4	0	4.039561e-5
EH_bin.18	0.00381336	0.02734748	0.0046067582	0.0033013576	1.6183435e-4	0.0040259846	0.0663871	0.0065361517	0	0.0029205894	0	0.003478019	0.0072412197	0.0018650383	0.0011438818	0.0075730905	0.0036729772	0.010478853	0.9937727	0.003859418	5.410252e-4	1.09151435e-4	3.056871e-4	0.0012662828	0.00207577	3.7603616e-4	0.0046673277000000004	1.0599677e-4	0.0020991145	5.410252e-4	0	0.9684388	0.0030745373	0.002556541	0.0012650209	1.3659702e-4	0.011571945	0.0017069896	4.1105293e-4	0	5.457572e-4	9.101211e-4	0.005606472	0.0019934333	0.23362318	1.5899516e-4	0.002906709	0.0015656606	0.0026735791	0	0
EH_bin.19	0.0014023085	0.00926972	0.0012425462	0.0028840592	1.523008e-4	9.054655e-4	4.0686698e-4	5.802353e-4	6.583608e-5	0.0012122616	2.6509995e-4	0.0018517495	0.0054845843	3.2786367e-4	4.9113715e-4	0.006232482	0.003101757	0.009967144	0.9995159	0.0033493007	2.9362892e-4	2.9362892e-4	4.029168e-4	0.0011310638	4.3539592e-4	1.3913358e-4	0.0016459019	0	3.6253734e-4	1.4878954e-4	0.0016428296	0.30536133	5.525841e-4	0.0017766963	0.0010704946	1.6941817e-4	0.0071954443	0.0018952013	8.0671144e-4	1.8741337e-4	0.002270028	2.3130409e-4	0.0041204607	9.954415e-4	0.20389038	0.00035551480000000003	0.0025395171	4.3232358e-4	0.0022928512	6.759171e-5	2.813395e-4
EH_bin.1	0.02482856	0.002796417	0.0011353785	0.8017868	0.011178565	0.051933505	0.9491948	4.060843e-4	0.001054576	0.00840257	0.008184138	1.2963916e-4	0.028845599	0.1834696	0.029763432	0.019750731	6.517475e-4	0.01968532	0.92377335	0.0035609328	0.0016497914	0.007923675	0.003178231	7.204148e-4	0.010699966	0.07708024	4.291707e-4	0.048495106	0.023223167	0.0036245685	0.10711095	0.03862625	0.9287497	0.006389908	1.7906778e-4	0.004067058	0.1432042	0.0045586806	6.1386207e-4	0.7851758	0.008444304	0.016565101	0.770518	3.5221595e-4	0.003839746	0.0029183608	0.0010862459	0.02191464	0.0025853836	0.0035339987	0.00734977
EH_bin.20	0.05444492	0.007536496	0.010304484	0.016761418	0.9177817	0.111079104	0.9996251	0.0015505123	0.0034286983	0.05055983	0.05694704	0.0066040433	0.92301023	0.9138711	0.08015645	0.08083479	0.018746872	0.076634794	0.8258303	0.027080972	0.03347329	0.07550083	0.019527875	0.0059188143	0.024576297	0.0033084066	0.005561004	0.62452877	0.053937193	0.008846936	0.024569402	0.073891066	0.9417517	0.026958635	0.0061570997	0.024584725	0.021232646	0.352354	0.00893658	0.82094073	0.064629115	0.057406243	0.9433952	0.0039257	0.018603593	0.01314909	0.008974379	0.054180585	0.023838712	0.019935997	0.89767385
EH_bin.21	7.7910395e-4	0.015996516	3.7130353e-4	6.50309e-4	0	0.032403246	0.09579993	0.007521686	1.1009406e-4	6.7836035e-4	2.1144091e-4	0.0019611823	0.0015416184	1.4236821e-4	1.02854996e-4	0.06181193	8.291741e-4	0.002447406	0.9886507	9.0548594e-4	1.1914288e-4	2.6241598e-5	7.9116906e-4	3.1369267e-4	0.024308767	7.148573e-5	0.24560507	0	1.3090635e-4	1.3965355e-4	1.5322679e-4	0.20731826	2.913722e-4	2.1264743e-4	3.3571146e-4	0	0.002747827	3.7763768e-4	1.08284294e-4	0	0.00925695	7.721665e-5	9.2659984e-4	4.2408833e-4	0.24262981	0	0.0013956307	6.3040156e-5	4.7868292e-4	0	2.0902789e-4
