genome	E25	E31	H19	H40	H45	P33	E44	E56	H06	H43	P05	P65	P75	H09	H47	P43	P45	E18	E48	H34	H37	P09	P64	E58	P36	P58	E27	H08	H20	H23	P53	E34	H16	H25	P14	P34	P51	P60	P72	H32	P48	H07	H12	P01	E30	H10	P47	P67	P79	H39	P25
EH_bin.11	384	259	20	38	10	36	3588	122	6	32	0	41	96	17	11	368	46	89	299205	60	2	3	13	20	148	2	210	0	16	2	6	24348	39	23	15	0	138	30	10	0	97	11	87	8	2690	4	39	15	30	2	7
EH_bin.12	36	147	25	88	69	53	2850	33	2	42	2	35	181	6	4	1457	65	240	465289	56	12	1	2	32	7	2	33	10	1	0	1	3634	108	32	23	6	258	44	0	4	60	4	114	14	139	4	48	35	74	2	9
EH_bin.13	446	393	44	9	0	237	5725	34	2	12	2	23	14	131	88	3275	5	34	5248	11	2	0	2	0	70	6	1677	8	106	16	6	229728	121	55	1	0	44	0	4	2	42	45	18	10	35306	2	8	98	2	0	2
EH_bin.15	119	102	96	192	19	55	298	18	2	170	57	97	330	58	45	2306	236	684	1635120	310	4	72	21	53	39	14	247	2	20	6	0	5734	53	78	148	21	631	78	32	100	129	60	318	127	1331	1	133	68583	133	30	0
EH_bin.17	16736	112	74	21	0	70	0	2	0	14	10	85	137	54	29	44	229	83	212258	74	0	1	0	35	22	6	45	0	31	17	4	31009	70	79	50	0	92	87	31	2	0	39	34	20	24	4	108	51	122	0	2
EH_bin.18	213	1055	216	327	21	258	2221	1642	0	181	0	484	927	112	84	620	194	630	1927177	232	48	5	39	78	228	19	513	4	152	35	0	301228	212	1126	64	4	817	104	30	0	631	52	368	135	14942	13	249	101	1034	0	0
EH_bin.19	844	225	55	147	12	128	21	82	2	52	38	236	265	18	42	461	141	1013	943906	156	27	26	74	80	42	8	77	0	25	10	887	13151	188	90	56	11	610	87	50	11	925	10	200	46	9477	13	153	133	150	2	59
EH_bin.1	1890	168	71	493186	11280	3504	161462	25	61	418	427	8	61966	13961	1906	1100	30	1277	187122	263	128	401	143	77	723	3459	38	3119	1546	243	6479	2616	3048102	411	10	202	10335	238	33	80493	492	1015	171046	22	306	176	62	1543	379	171	5603
EH_bin.20	12819	634	939	3826	1712410	9862	1228407	391	267	3383	4994	572	7516592	438787	8224	6168	1176	7979	169952	1957	3432	4992	1332	2922	2040	435	1955	89955	4972	916	2055	9590	8269323	3169	1733	1644	11414	22563	2385	111604	6056	4166	607885	381	1611	1117	1215	13533	6899	1258	1132094
EH_bin.21	90	610	23	51	0	1461	3617	473	4	43	6	111	101	9	6	3523	50	161	437884	59	9	2	34	20	2339	6	20207	0	8	11	11	11305	22	11	20	0	186	27	8	0	1037	6	59	21	15975	0	116	6	29	0	7
EH_bin.22	98	61	153	65	51	2279	62	254442	46	92	113	368649	324	39	88	791	257	22627	963	97	243	144	14553	58	461	62	8046	25	80	197	177	14361	70	168	63	70	155	380	29	206	10408	52	1241	87	96	94	135649	90	305	53	37
EH_bin.23	9243	2934	36	27	0	170	96	11	45	6	0	2	8	144	48	25	2	16	440	8	6	0	0	0	36	2	1666	2	83	14	87	125024	129	45	0	0	17	0	0	0	0	62	8	4	23171	4	0	50	0	0	56
