user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
EH_bin.1.fa	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas veronii	GCF_000820225.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas veronii	96.81	0.875	GCF_000820225.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas veronii	96.81	0.875	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_019048265.1, s__Aeromonas veronii_A, 95.0, 94.49, 0.855; GCF_000819685.1, s__Aeromonas allosaccharophila, 95.0, 93.87, 0.853; GCF_000819725.1, s__Aeromonas australiensis, 95.0, 92.79, 0.828; GCF_000764645.1, s__Aeromonas finlandensis, 95.0, 92.47, 0.88; GCF_000819885.1, s__Aeromonas fluvialis, 95.0, 92.03, 0.809; GCF_000820145.1, s__Aeromonas sobria, 95.0, 91.31, 0.866; GCF_000764665.1, s__Aeromonas lacus, 95.8323, 90.28, 0.875; GCF_000819955.1, s__Aeromonas jandaei, 95.8323, 90.05, 0.875; GCF_000819845.1, s__Aeromonas enteropelogenes, 95.0, 87.33, 0.837; GCF_000014805.1, s__Aeromonas hydrophila, 95.0, 87.28, 0.835; GCF_000820305.1, s__Aeromonas dhakensis, 95.0, 86.96, 0.841; GCF_000820025.1, s__Aeromonas popoffii, 95.0, 86.68, 0.805; GCF_000819745.1, s__Aeromonas bestiarum, 95.5033, 86.65, 0.819; GCF_000820005.1, s__Aeromonas piscicola, 95.5033, 86.53, 0.85; GCF_010974825.1, s__Aeromonas rivipollensis, 95.0, 85.91, 0.787; GCF_001643305.1, s__Aeromonas salmonicida, 95.0, 85.88, 0.819; GCF_000819985.1, s__Aeromonas media, 95.0, 85.86, 0.771; GCF_000820085.1, s__Aeromonas sanarellii, 95.0, 85.71, 0.748; GCF_000820165.1, s__Aeromonas taiwanensis, 95.0, 85.65, 0.778; GCF_000819785.1, s__Aeromonas caviae, 95.0, 85.57, 0.785; GCF_900637545.1, s__Aeromonas encheleia, 95.0, 85.42, 0.8; GCF_000764655.1, s__Aeromonas aquatica, 95.0, 85.24, 0.767; GCF_002812985.1, s__Aeromonas lusitana, 95.0, 85.15, 0.8; GCF_000819865.1, s__Aeromonas eucrenophila, 95.0, 85.1, 0.789; GCF_000820185.1, s__Aeromonas tecta, 95.0, 85.1, 0.785; GCF_000819765.1, s__Aeromonas bivalvium, 95.0, 83.81, 0.753; GCF_002795305.1, s__Aeromonas cavernicola, 95.0, 83.6, 0.528; GCF_000820045.1, s__Aeromonas rivuli, 95.0, 82.74, 0.73; GCF_000388115.1, s__Aeromonas molluscorum, 95.0, 82.49, 0.676; GCF_000820125.1, s__Aeromonas simiae, 95.0, 81.35, 0.599; GCF_000819805.1, s__Aeromonas diversa, 95.0, 81.17, 0.621; GCF_000820105.1, s__Aeromonas schubertii, 95.0, 81.17, 0.648; GCF_900156095.1, s__Aeromonas sp900156095, 95.0, 79.66, 0.512	52.79	11	N/A	N/A
EH_bin.11.fa	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__WRHT01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__WRHT01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	38.53	11	0.88843	N/A
EH_bin.12.fa	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	93.6	11	0.46484	N/A
EH_bin.13.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_003523545.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__Dysgonomonas sp003523545	78.28	0.139	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000426485.1, s__Dysgonomonas capnocytophagoides, 95.0, 76.58, 0.063; GCF_010501075.1, s__Dysgonomonas sp010501075, 95.0, 76.45, 0.06; GCF_001261715.1, s__Dysgonomonas sp001261715, 95.0, 76.42, 0.053; GCF_000711235.1, s__Dysgonomonas sp000711235, 95.0, 76.4, 0.052; GCF_016652235.1, s__Dysgonomonas sp016652235, 95.0, 76.4, 0.035; GCA_934668725.1, s__Dysgonomonas sp934668725, 95.0, 76.29, 0.06; GCF_001261735.1, s__Dysgonomonas sp001261735, 95.0, 76.2, 0.027; GCF_010501095.1, s__Dysgonomonas sp010501095, 95.0, 76.2, 0.06; GCF_010501065.1, s__Dysgonomonas sp010501065, 95.0, 76.18, 0.037; GCF_900343125.1, s__Dysgonomonas sp900343125, 95.0, 76.18, 0.022; GCF_014196915.1, s__Dysgonomonas hofstadii, 95.0, 76.16, 0.058; GCF_900128985.1, s__Dysgonomonas macrotermitis, 95.0, 76.15, 0.07; GCF_003201355.1, s__Dysgonomonas alginatilytica, 95.0, 76.14, 0.057; GCF_011039205.1, s__Dysgonomonas sp011039205, 95.0, 76.13, 0.047; GCF_010501055.1, s__Dysgonomonas sp010501055, 95.0, 76.11, 0.067; GCF_000213555.1, s__Dysgonomonas gadei, 95.0, 76.09, 0.053; GCA_002482385.1, s__Dysgonomonas sp002482385, 95.0, 76.08, 0.05; GCF_900240225.1, s__Dysgonomonas massiliensis, 95.0, 76.06, 0.03; GCF_011299555.1, s__Dysgonomonas sp011299555, 95.0, 76.0, 0.062; GCA_002409595.1, s__Dysgonomonas sp002409595, 95.0, 75.94, 0.04; GCA_900079725.1, s__Dysgonomonas sp900079725, 95.0, 75.9, 0.063; GCA_900556485.1, s__Dysgonomonas sp900556485, 95.0, 75.89, 0.035; GCF_010501105.1, s__Dysgonomonas sp010501105, 95.0, 75.82, 0.057; GCF_000213575.1, s__Dysgonomonas mossii, 95.0, 75.78, 0.037; GCA_945273835.1, s__Dysgonomonas sp945273835, 95.0, 75.69, 0.033; GCA_023437305.1, s__Dysgonomonas sp023437305, 95.0, 75.66, 0.037; GCF_004569505.1, s__Dysgonomonas sp900079735, 95.0, 75.39, 0.042; GCA_945292135.1, s__Dysgonomonas sp945292135, 95.0, 75.04, 0.022	53.21	11	0.96886	N/A
EH_bin.15.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	GCF_000210075.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	97.0	0.722	GCF_000210075.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	97.0	0.722	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_009193295.2, s__Bacteroides luhongzhouii, 95.0, 94.29, 0.674; GCF_001688725.2, s__Bacteroides caecimuris, 95.0, 92.66, 0.612; GCF_001314995.1, s__Bacteroides ovatus, 95.0, 92.32, 0.733; GCA_019412865.1, s__Bacteroides sp019412865, 95.0, 90.7, 0.569; GCF_014334015.1, s__Bacteroides intestinigallinarum, 95.0, 89.85, 0.707; GCA_902362375.1, s__Bacteroides sp902362375, 95.0, 89.26, 0.679; GCA_900755095.1, s__Bacteroides sp900755095, 95.0, 88.67, 0.565; GCF_024623065.1, s__Bacteroides acidifaciens, 95.0, 86.5, 0.557; GCA_900557355.1, s__Bacteroides sp900557355, 95.0, 86.2, 0.202; GCF_903181435.1, s__Bacteroides sp900765785, 95.0, 85.26, 0.552; GCF_000156195.1, s__Bacteroides finegoldii, 95.8579, 84.89, 0.518; GCF_012113595.1, s__Bacteroides sp012113595, 95.0, 84.83, 0.564; GCF_900130125.1, s__Bacteroides congonensis, 95.0, 84.39, 0.562; GCF_009193325.2, s__Bacteroides zhangwenhongii, 95.8579, 84.2, 0.507; GCA_900556625.1, s__Bacteroides sp900556625, 95.0, 84.08, 0.566; GCF_014750685.1, s__Bacteroides sp014750685, 95.0, 83.93, 0.611; GCA_900761785.1, s__Bacteroides sp900761785, 95.0, 83.53, 0.495; GCF_002222615.2, s__Bacteroides caccae, 95.0, 83.12, 0.522; GCA_934716785.1, s__Bacteroides sp934716785, 95.0, 81.87, 0.426; GCA_900555635.1, s__Bacteroides sp900555635, 95.0, 81.8, 0.198; GCF_900106755.1, s__Bacteroides faecis, 95.0, 81.59, 0.425; GCF_000011065.1, s__Bacteroides thetaiotaomicron, 95.0, 81.57, 0.452; GCA_900547205.1, s__Bacteroides sp900547205, 95.0, 81.56, 0.47; GCA_910586915.1, s__Bacteroides sp910586915, 95.0, 81.5, 0.494; GCF_003865075.1, s__Bacteroides faecalis, 95.0, 80.53, 0.308; GCF_000614145.1, s__Bacteroides faecichinchillae, 95.0, 80.25, 0.377; GCF_900155865.1, s__Bacteroides bouchesdurhonensis, 95.0, 80.06, 0.338; GCA_000613465.1, s__Bacteroides nordii, 95.0, 79.41, 0.21; GCA_900766005.1, s__Bacteroides sp900766005, 95.0, 79.3, 0.305; GCF_002849695.1, s__Bacteroides fragilis_A, 95.0, 79.24, 0.203; GCF_900142015.1, s__Bacteroides stercorirosoris, 95.0, 79.2, 0.181; GCA_023426145.1, s__Bacteroides sp023426145, 95.0, 79.19, 0.322; GCA_025146565.1, s__Bacteroides eggerthii, 95.0, 79.1, 0.2; GCF_000614125.1, s__Bacteroides rodentium, 95.0, 79.09, 0.173; GCA_025147325.1, s__Bacteroides stercoris, 95.0, 79.01, 0.219; GCF_000172175.1, s__Bacteroides intestinalis, 95.0, 78.97, 0.181; GCF_000499785.1, s__Bacteroides neonati, 95.0, 78.94, 0.151; GCA_910578895.1, s__Bacteroides sp910578895, 95.0, 78.91, 0.212; GCF_000315485.1, s__Bacteroides oleiciplenus, 95.0, 78.87, 0.173; GCF_000374365.1, s__Bacteroides gallinarum, 95.0, 78.86, 0.158; GCF_000381365.1, s__Bacteroides salyersiae, 95.0, 78.8, 0.225; GCF_018390535.1, s__Bacteroides propionicigenes, 95.0, 78.79, 0.225; GCF_000428105.1, s__Bacteroides pyogenes, 95.0, 78.56, 0.264; GCF_000195635.1, s__Bacteroides fluxus, 95.0, 78.55, 0.179; GCF_000025985.1, s__Bacteroides fragilis, 95.0, 78.51, 0.2; GCF_019583405.1, s__Bacteroides fragilis_B, 95.0, 78.38, 0.208; GCA_905197435.1, s__Bacteroides sp905197435, 95.0, 78.36, 0.196; GCF_900241005.1, s__Bacteroides cutis, 95.0, 78.32, 0.219; GCF_000517545.1, s__Bacteroides reticulotermitis, 95.0, 78.31, 0.246; GCA_025147485.1, s__Bacteroides uniformis, 95.0, 78.19, 0.176; GCF_902364365.1, s__Bacteroides sp900556215, 95.2143, 78.18, 0.177; GCA_014385165.1, s__Bacteroides sp014385165, 95.0, 78.18, 0.195; GCA_902388495.1, s__Bacteroides sp902388495, 95.0, 78.16, 0.171; GCF_003464595.1, s__Bacteroides intestinalis_A, 95.2143, 78.1, 0.168; GCF_020091405.1, s__Bacteroides sp900552405, 95.0, 78.1, 0.186; GCF_000513195.1, s__Bacteroides timonensis, 95.0, 78.09, 0.167; GCF_000158035.1, s__Bacteroides cellulosilyticus, 95.0, 77.99, 0.182; GCA_009929715.1, s__Bacteroides sp009929715, 95.0, 77.97, 0.152; GCF_014196225.1, s__Bacteroides pyogenes_A, 95.0, 77.96, 0.251; GCA_905215345.1, s__Bacteroides sp905215345, 95.0, 77.95, 0.195; GCA_944322345.1, s__Bacteroides sp944322345, 95.0, 77.94, 0.217; GCA_905207245.1, s__Bacteroides sp905207245, 95.0, 77.89, 0.162; GCA_019416685.1, s__Bacteroides sp900762525, 95.0, 77.85, 0.19; GCF_002998435.1, s__Bacteroides zoogleoformans, 95.0, 77.84, 0.162; GCF_004793475.1, s__Bacteroides sp002491635, 95.0, 77.77, 0.173; GCA_021203515.1, s__Bacteroides sp021203515, 95.0, 77.77, 0.18; GCA_905215555.1, s__Bacteroides sp905215555, 95.0, 77.76, 0.179; GCA_945607605.1, s__Bacteroides sp945607605, 95.0, 77.76, 0.253; GCA_910585845.1, s__Bacteroides sp910585845, 95.0, 77.75, 0.165; GCF_000186225.1, s__Bacteroides helcogenes, 95.0, 77.72, 0.172; GCA_905203765.1, s__Bacteroides sp905203765, 95.0, 77.54, 0.198; GCF_900129655.1, s__Bacteroides clarus, 95.0, 77.52, 0.233; GCA_023458215.1, s__Bacteroides sp023458215, 95.0, 77.35, 0.146; GCA_017992695.1, s__Bacteroides sp017992695, 95.0, 77.33, 0.198; GCF_004342845.1, s__Bacteroides heparinolyticus, 95.0, 77.21, 0.155; GCA_002471185.1, s__Bacteroides sp002471185, 95.0, 77.2, 0.113; GCA_002293435.1, s__Bacteroides sp002293435, 95.0, 77.09, 0.15; GCA_007896885.1, s__Bacteroides sp007896885, 95.0, 76.97, 0.094; GCA_022648295.1, s__Bacteroides sp022648295, 95.0, 76.67, 0.104; GCA_002471195.1, s__Bacteroides sp002471195, 95.0, 76.62, 0.09; GCA_900766195.1, s__Bacteroides sp900766195, 95.0, 76.57, 0.097	81.29	11	N/A	N/A
EH_bin.17.fa	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	89.61	11	0.78658	N/A
EH_bin.18.fa	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	96.52	11	0.89637	N/A
EH_bin.19.fa	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Breznakia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Breznakia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_004365815.1, s__Breznakia blatticola, 95.0, 81.28, 0.501; GCA_001695645.1, s__Breznakia sp001695645, 95.0, 80.94, 0.476; GCA_009916335.1, s__Breznakia sp009916335, 95.0, 77.09, 0.106	94.38	11	0.97473	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
EH_bin.2.fa	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_022705265.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__JAKJEU01;g__JAKJEU01;s__JAKJEU01 sp022705265	76.84	0.005	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	87.27	11	0.61066	N/A
EH_bin.20.fa	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio;s__Vibrio cholerae	GCF_000621645.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio;s__Vibrio cholerae	97.94	0.902	GCF_000621645.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio;s__Vibrio cholerae	97.94	0.902	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_009665255.1, s__Vibrio metoecus_B, 95.0, 89.31, 0.814; GCF_000696385.1, s__Vibrio metoecus, 95.0, 88.38, 0.794; GCF_019048845.1, s__Vibrio sp000176715, 95.0, 88.33, 0.802; GCF_000338875.1, s__Vibrio mimicus, 95.0, 86.57, 0.79; GCF_011306175.1, s__Vibrio sp011306175, 95.0, 82.96, 0.647; GCF_009763805.1, s__Vibrio cidicii, 95.3805, 79.83, 0.325; GCA_015767675.1, s__Vibrio sp000960595, 95.0, 79.77, 0.32; GCF_000764325.1, s__Vibrio navarrensis, 95.3805, 79.69, 0.319; GCA_000257205.1, s__Vibrio ordalii, 96.3484, 79.65, 0.379; GCF_900460245.1, s__Vibrio fluvialis, 95.0, 79.61, 0.405; GCF_000176175.1, s__Vibrio furnissii, 95.0, 79.4, 0.406; GCF_019226825.1, s__Vibrio sp004804295, 95.0, 79.27, 0.327; GCF_001989995.2, s__Vibrio anguillarum, 96.3484, 79.23, 0.34; GCF_002224265.1, s__Vibrio vulnificus, 95.0, 79.11, 0.307; GCF_001895205.1, s__Vibrio injensis, 95.0, 79.05, 0.265; GCF_024582835.1, s__Vibrio japonicus, 95.0, 79.04, 0.222; GCF_013041605.1, s__Vibrio plantisponsor, 95.0, 78.95, 0.285; GCF_000176135.1, s__Vibrio coralliilyticus, 95.0, 78.9, 0.226; GCF_013369385.1, s__Vibrio sp013369385, 95.0, 78.88, 0.302; GCF_014596725.1, s__Vibrio sp014596725, 95.0, 78.88, 0.267; GCF_009938225.1, s__Vibrio ponticus, 95.0, 78.84, 0.258; GCF_000740015.1, s__Vibrio diazotrophicus, 95.0, 78.83, 0.295; GCF_023716665.1, s__Vibrio sp023716665, 95.0, 78.83, 0.235; GCF_002741985.1, s__Vibrio rotiferianus, 95.0, 78.82, 0.243; GCF_013113835.1, s__Vibrio sp013113835, 95.0, 78.8, 0.238; GCF_001274785.1, s__Vibrio hepatarius, 95.0, 78.8, 0.26; GCF_002849855.1, s__Vibrio azureus, 95.0, 78.8, 0.167; GCF_010587385.1, s__Vibrio astriarenae, 95.0, 78.79, 0.184; GCF_000467125.1, s__Vibrio proteolyticus, 95.0, 78.78, 0.264; GCF_900167345.1, s__Vibrio cincinnatiensis, 95.0, 78.78, 0.284; GCF_021728395.1, s__Vibrio sp018223135, 95.0, 78.78, 0.225; GCF_009938165.1, s__Vibrio taketomensis, 95.0, 78.77, 0.238; GCA_024347055.1, s__Vibrio porteresiae, 95.0, 78.76, 0.253; GCF_900100015.1, s__Vibrio xiamenensis, 95.0, 78.76, 0.262; GCF_006124995.1, s__Vibrio sp006124995, 95.0, 78.75, 0.24; GCF_900460535.1, s__Vibrio parahaemolyticus, 95.0, 78.73, 0.267; GCF_012395185.1, s__Vibrio aestuarianus, 95.0, 78.73, 0.314; GCF_002608565.1, s__Vibrio sp002608565, 95.0, 78.72, 0.221; GCF_001547935.1, s__Vibrio tritonius, 95.0, 78.72, 0.237; GCF_022113815.1, s__Vibrio cincinnatiensis_A, 95.0, 78.71, 0.311; GCF_000222605.1, s__Vibrio ichthyoenteri, 95.0, 78.7, 0.237; GCF_003544875.1, s__Vibrio alfacsensis, 95.0, 78.7, 0.241; GCF_921294215.1, s__Vibrio marisflavi, 95.0, 78.69, 0.131; GCF_000176155.1, s__Vibrio metschnikovii, 95.0, 78.67, 0.271; GCF_011064285.1, s__Vibrio ziniensis, 95.0, 78.66, 0.28; GCF_003856525.1, s__Vibrio viridaestus, 95.0, 78.66, 0.122; GCF_002163755.1, s__Vibrio campbellii, 95.0, 78.66, 0.25; GCF_000189275.1, s__Vibrio sinaloensis_B, 95.0, 78.65, 0.232; GCF_002906655.1, s__Vibrio hyugaensis, 95.0, 78.64, 0.244; GCF_009363415.1, s__Vibrio aquimaris, 95.0, 78.64, 0.144; GCF_000354175.2, s__Vibrio alginolyticus, 95.0, 78.64, 0.225; GCF_015686695.1, s__Vibrio nitrifigilis, 95.0, 78.64, 0.215; GCF_011806575.1, s__Vibrio hepatarius_A, 95.0, 78.63, 0.25; GCF_003970385.1, s__Vibrio aquaticus, 95.0, 78.62, 0.249; GCF_001012815.1, s__Vibrio mexicanus, 95.0, 78.62, 0.217; GCF_009938205.1, s__Vibrio panuliri, 95.0, 78.62, 0.241; GCF_000967495.1, s__Vibrio neptunius, 95.0, 78.61, 0.22; GCF_023634645.1, s__Vibrio sp023634645, 95.0, 78.61, 0.131; GCF_002749895.1, s__Vibrio fujianensis, 95.0, 78.6, 0.267; GCF_001854765.1, s__Vibrio sonorensis, 95.0, 78.59, 0.171; GCA_003263845.1, s__Vibrio aestivus, 95.0, 78.55, 0.217; GCF_003350325.1, s__Vibrio rhodolitus, 95.0, 78.55, 0.257; GCF_015278125.1, s__Vibrio sp015278125, 95.0, 78.54, 0.229; GCA_001048675.1, s__Vibrio diabolicus, 95.0, 78.54, 0.248; GCF_001399455.2, s__Vibrio bivalvicida, 95.0, 78.54, 0.218; GCF_000827885.1, s__Vibrio renipiscarius, 95.0, 78.53, 0.224; GCF_013369335.1, s__Vibrio sp013369335, 95.0, 78.53, 0.24; GCF_024449095.1, s__Vibrio coralliilyticus_A, 95.0, 78.52, 0.23; GCF_000830505.1, s__Vibrio mytili, 95.0, 78.5, 0.201; GCF_000176235.1, s__Vibrio orientalis, 95.0, 78.49, 0.235; GCF_001591105.1, s__Vibrio nereis, 95.0, 78.49, 0.246; GCF_905175385.1, s__Vibrio sp903986855, 95.0, 78.49, 0.231; GCF_000400365.1, s__Vibrio jasicida, 95.0, 78.48, 0.23; GCF_000772105.1, s__Vibrio tubiashii, 95.0, 78.47, 0.25; GCF_000189255.1, s__Vibrio brasiliensis, 95.0, 78.46, 0.235; GCF_013114545.1, s__Vibrio sp013114545, 95.0, 78.45, 0.24; GCF_003415655.1, s__Vibrio maerlii, 95.0, 78.45, 0.182; GCF_013074385.2, s__Vibrio ostreicida, 95.0, 78.43, 0.144; GCF_000817815.1, s__Vibrio owensii, 95.0, 78.43, 0.252; GCF_001591145.1, s__Vibrio harveyi, 95.0, 78.42, 0.245; GCF_000417905.1, s__Vibrio natriegens, 95.0, 78.41, 0.235; GCA_000775715.1, s__Vibrio tubiashii_A, 95.0, 78.39, 0.229; GCF_001695575.1, s__Vibrio europaeus, 95.0, 78.39, 0.243; GCF_000967545.1, s__Vibrio galatheae, 95.0, 78.39, 0.233; GCF_007990935.1, s__Vibrio sagamiensis, 95.0, 78.37, 0.147; GCF_012641465.1, s__Vibrio agarilyticus, 95.0, 78.37, 0.187; GCF_000808535.1, s__Vibrio sinaloensis, 95.0, 78.36, 0.26; GCF_003350295.1, s__Vibrio tetraodonis, 95.0, 78.36, 0.152; GCF_004551525.1, s__Vibrio ouci, 95.0, 78.35, 0.24; GCF_000711795.1, s__Vibrio pacinii, 95.5386, 78.34, 0.233; GCA_018222805.1, s__Vibrio sp018222805, 95.0, 78.33, 0.199; GCF_014050145.1, s__Vibrio marinisediminis, 95.0, 78.29, 0.217; GCF_023195835.1, s__Vibrio sinaloensis_C, 95.0, 78.28, 0.248; GCF_009811315.1, s__Vibrio atypicus, 95.0, 78.27, 0.249; GCF_000222585.1, s__Vibrio scophthalmi, 95.0, 78.26, 0.252; GCF_002563795.1, s__Vibrio sp002563795, 95.0, 78.24, 0.221; GCF_000171815.1, s__Vibrio sp000171815, 95.0, 77.99, 0.179; GCA_024346955.1, s__Vibrio mangrovi, 95.0, 77.98, 0.144; GCA_007124475.1, s__Vibrio sp007124475, 95.0, 77.89, 0.24	97.5	11	N/A	N/A
